Proteotoxic Stress Proteins		
This table was generated by retriving a list of heat shock and autophagy proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP) (PEST-domain phosphatase) (PEP)	PTPN22 PTPN8	autophagy [GO:0006914]; cellular response to muramyl dipeptide [GO:0071225]; lipid metabolic process [GO:0006629]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of autophagy [GO:0010507]; negative regulation of gene expression [GO:0010629]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of JUN kinase activity [GO:0043508]; negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070433]; negative regulation of p38MAPK cascade [GO:1903753]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of tumor necrosis factor production [GO:0032720]; phosphoanandamide dephosphorylation [GO:0035644]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of toll-like receptor 3 signaling pathway [GO:0034141]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type II interferon production [GO:0032729]; regulation of B cell receptor signaling pathway [GO:0050855]; regulation of innate immune response [GO:0045088]; regulation of natural killer cell proliferation [GO:0032817]; regulation of non-canonical NF-kappaB signal transduction [GO:1901222]; response to lipopolysaccharide [GO:0032496]; T cell differentiation [GO:0030217]; T cell receptor signaling pathway [GO:0050852]
Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A RAB1	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; cell migration [GO:0016477]; COPII-coated vesicle cargo loading [GO:0090110]; defense response to bacterium [GO:0042742]; endocytosis [GO:0006897]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; growth hormone secretion [GO:0030252]; intracellular protein transport [GO:0006886]; melanosome transport [GO:0032402]; positive regulation of glycoprotein metabolic process [GO:1903020]; positive regulation of interleukin-8 production [GO:0032757]; substrate adhesion-dependent cell spreading [GO:0034446]; vesicle transport along microtubule [GO:0047496]; vesicle-mediated transport [GO:0016192]; virion assembly [GO:0019068]
Ras-related protein Rab-33B (EC 3.6.5.2)	RAB33B	autophagosome assembly [GO:0000045]; intra-Golgi vesicle-mediated transport [GO:0006891]; negative regulation of constitutive secretory pathway [GO:1903434]; protein localization to Golgi apparatus [GO:0034067]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; Rab protein signal transduction [GO:0032482]; regulation of exocytosis [GO:0017157]; regulation of Golgi organization [GO:1903358]; regulation of retrograde vesicle-mediated transport, Golgi to ER [GO:2000156]; skeletal system morphogenesis [GO:0048705]
Ras-related protein Rab-39A (Rab-39) (EC 3.6.5.2)	RAB39A RAB39	autophagosome-lysosome fusion [GO:0061909]; phagosome acidification [GO:0090383]; phagosome-lysosome fusion [GO:0090385]; protein transport [GO:0015031]; Rab protein signal transduction [GO:0032482]; vesicle-mediated transport [GO:0016192]
Ras-related protein Rab-39B (EC 3.6.5.2)	RAB39B	autophagy [GO:0006914]; protein transport [GO:0015031]; Rab protein signal transduction [GO:0032482]; regulation of autophagy [GO:0010506]; synapse organization [GO:0050808]; vesicle-mediated transport [GO:0016192]
Ras-related protein Rab-7a (EC 3.6.5.2)	RAB7A RAB7	autophagosome assembly [GO:0000045]; bone resorption [GO:0045453]; early endosome to late endosome transport [GO:0045022]; endocytosis [GO:0006897]; endosome to lysosome transport [GO:0008333]; endosome to plasma membrane protein transport [GO:0099638]; epidermal growth factor catabolic process [GO:0007174]; establishment of vesicle localization [GO:0051650]; lipid catabolic process [GO:0016042]; lipophagy [GO:0061724]; negative regulation of exosomal secretion [GO:1903542]; negative regulation of intralumenal vesicle formation [GO:1905366]; neurotransmitter receptor transport, postsynaptic endosome to lysosome [GO:0098943]; phagosome acidification [GO:0090383]; phagosome maturation [GO:0090382]; phagosome-lysosome fusion [GO:0090385]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of viral process [GO:0048524]; protein localization to lysosome [GO:0061462]; protein targeting to lysosome [GO:0006622]; protein to membrane docking [GO:0022615]; protein transport [GO:0015031]; response to bacterium [GO:0009617]; retrograde transport, endosome to Golgi [GO:0042147]; synaptic vesicle recycling via endosome [GO:0036466]; viral release from host cell [GO:0019076]
Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel)	RAB8A MEL RAB8	autophagy [GO:0006914]; axonogenesis [GO:0007409]; cellular response to insulin stimulus [GO:0032869]; cilium assembly [GO:0060271]; endocytic recycling [GO:0032456]; exocytosis [GO:0006887]; Golgi organization [GO:0007030]; Golgi vesicle fusion to target membrane [GO:0048210]; neurotransmitter receptor transport to postsynaptic membrane [GO:0098969]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; protein localization to cilium [GO:0061512]; protein localization to plasma membrane [GO:0072659]; regulation of autophagy [GO:0010506]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of protein transport [GO:0051223]; vesicle docking involved in exocytosis [GO:0006904]; vesicle-mediated transport in synapse [GO:0099003]
RB1-inducible coiled-coil protein 1 (FAK family kinase-interacting protein of 200 kDa) (FIP200)	RB1CC1 KIAA0203 RBICC	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; defense response to virus [GO:0051607]; extrinsic apoptotic signaling pathway [GO:0097191]; glycophagy [GO:0061723]; heart development [GO:0007507]; innate immune response [GO:0045087]; liver development [GO:0001889]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; pexophagy [GO:0000425]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of autophagy [GO:0010508]; positive regulation of cell size [GO:0045793]; positive regulation of JNK cascade [GO:0046330]; reticulophagy [GO:0061709]; ribophagy [GO:0034517]
Reticulophagy regulator 1 (Reticulophagy receptor 1)	RETREG1 FAM134B JK1	collagen catabolic process [GO:0030574]; endoplasmic reticulum organization [GO:0007029]; mitophagy [GO:0000423]; negative regulation of neuron apoptotic process [GO:0043524]; reticulophagy [GO:0061709]; sensory perception of pain [GO:0019233]; white fat cell differentiation [GO:0050872]
Reticulophagy regulator 2	RETREG2 C2orf17 FAM134A MAG2	collagen catabolic process [GO:0030574]; endoplasmic reticulum organization [GO:0007029]; reticulophagy [GO:0061709]
Reticulophagy regulator 3	RETREG3 FAM134C	collagen catabolic process [GO:0030574]; endoplasmic reticulum tubular network organization [GO:0071786]; positive regulation of neuron projection development [GO:0010976]; reticulophagy [GO:0061709]
Regulator of G-protein signaling 19 (RGS19) (G-alpha-interacting protein) (GAIP)	RGS19 GAIP GNAI3IP	autophagy [GO:0006914]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of signal transduction [GO:0009968]; small GTPase-mediated signal transduction [GO:0007264]
RAB7A-interacting MON1-CCZ1 complex subunit 1 (UPF0600 protein C5orf51)	RIMOC1 C5orf51	mitophagy [GO:0000423]
Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1) (WD repeat-containing protein 98)	RMC1 C18orf8 MIC1 WDR98	autophagy [GO:0006914]; regulation of autophagy [GO:0010506]
E3 ubiquitin-protein ligase RNF166 (EC 2.3.2.27) (RING finger protein 166) (RING-type E3 ubiquitin transferase RNF166)	RNF166	autophagy [GO:0006914]; innate immune response [GO:0045087]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]
E3 ubiquitin-protein ligase RNF185 (EC 2.3.2.27) (RING finger protein 185)	RNF185	autophagy [GO:0006914]; defense response to virus [GO:0051607]; endoplasmic reticulum mannose trimming [GO:1904380]; ERAD pathway [GO:0036503]; innate immune response [GO:0045087]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of innate immune response [GO:0045089]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein autoubiquitination [GO:0051865]; protein K27-linked ubiquitination [GO:0044314]; transmembrane transport [GO:0055085]; ubiquitin-dependent protein catabolic process [GO:0006511]
E3 ubiquitin-protein ligase NRDP1 (EC 2.3.2.27) (RING finger protein 41) (RING-type E3 ubiquitin transferase NRDP1)	RNF41 FLRF NRDP1 SBBI03	autophagy [GO:0006914]; extrinsic apoptotic signaling pathway [GO:0097191]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of mitophagy [GO:1901525]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; proteasomal protein catabolic process [GO:0010498]; protein autoubiquitination [GO:0051865]; protein polyubiquitination [GO:0000209]; regulation of lymphocyte differentiation [GO:0045619]; regulation of MAPK cascade [GO:0043408]; regulation of myeloid cell differentiation [GO:0045637]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; regulation of reactive oxygen species metabolic process [GO:2000377]
Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Rubicon) (Beclin-1 associated RUN domain containing protein) (Baron)	RUBCN KIAA0226	autophagy [GO:0006914]; immune system process [GO:0002376]; multivesicular body sorting pathway [GO:0071985]; negative regulation of autophagosome maturation [GO:1901097]; negative regulation of autophagy [GO:0010507]; negative regulation of endocytosis [GO:0045806]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; phagocytosis [GO:0006909]
Protein associated with UVRAG as autophagy enhancer (Pacer) (Protein Rubicon-like)	RUBCNL C13orf18 KIAA0226L	autophagosome maturation [GO:0097352]; autophagosome-endosome fusion [GO:0061910]; autophagosome-lysosome fusion [GO:0061909]; lipid metabolic process [GO:0006629]; regulation of glycogen metabolic process [GO:0070873]; regulation of lipid metabolic process [GO:0019216]
RUN and FYVE domain-containing protein 4	RUFY4	autophagosome assembly [GO:0000045]; cellular response to interleukin-4 [GO:0071353]; multivesicular body-lysosome fusion [GO:0061763]; positive regulation of bone resorption [GO:0045780]; positive regulation of exocytosis [GO:0045921]; positive regulation of macroautophagy [GO:0016239]; positive regulation of retrograde axon cargo transport [GO:2001019]
Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	apoptotic process [GO:0006915]; astrocyte development [GO:0014002]; autocrine signaling [GO:0035425]; autophagy [GO:0006914]; chronic inflammatory response [GO:0002544]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; endothelial cell migration [GO:0043542]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; leukocyte migration involved in inflammatory response [GO:0002523]; neutrophil aggregation [GO:0070488]; neutrophil chemotaxis [GO:0030593]; peptide secretion [GO:0002790]; peptidyl-cysteine S-nitrosylation [GO:0018119]; positive regulation of cell growth [GO:0030307]; positive regulation of inflammatory response [GO:0050729]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of peptide secretion [GO:0002793]; regulation of cytoskeleton organization [GO:0051493]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to zinc ion [GO:0010043]
Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; apoptotic process [GO:0006915]; astrocyte development [GO:0014002]; autocrine signaling [GO:0035425]; autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; chronic inflammatory response [GO:0002544]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; endothelial cell migration [GO:0043542]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; leukocyte migration involved in inflammatory response [GO:0002523]; neutrophil aggregation [GO:0070488]; neutrophil chemotaxis [GO:0030593]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; positive regulation of cell growth [GO:0030307]; positive regulation of inflammatory response [GO:0050729]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of neuron projection development [GO:0010976]; regulation of cytoskeleton organization [GO:0051493]; regulation of respiratory burst involved in inflammatory response [GO:0060264]; regulation of toll-like receptor signaling pathway [GO:0034121]
Myotubularin-related protein 13 (Inactive phosphatidylinositol 3-phosphatase 13) (SET-binding factor 2)	SBF2 CMT4B2 KIAA1766 MTMR13	autophagy [GO:0006914]; myelination [GO:0042552]
Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1)	SH3GLB1 KIAA0491 CGI-61	de novo' post-translational protein folding [GO:0051084]; apoptotic process [GO:0006915]; autophagic cell death [GO:0048102]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; cellular response to glucose starvation [GO:0042149]; membrane fission [GO:0090148]; membrane organization [GO:0061024]; phosphatidic acid biosynthetic process [GO:0006654]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of autophagy [GO:0010508]; positive regulation of membrane tubulation [GO:1903527]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein-containing complex assembly [GO:0031334]; protein localization to vacuolar membrane [GO:1903778]; receptor catabolic process [GO:0032801]; regulation of cytokinesis [GO:0032465]; regulation of macroautophagy [GO:0016241]; regulation of protein stability [GO:0031647]
NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-2) (EC 2.3.1.-) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	autophagy [GO:0006914]; cell division [GO:0051301]; cellular response to caloric restriction [GO:0061433]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to hypoxia [GO:0071456]; cellular response to oxidative stress [GO:0034599]; epigenetic regulation of gene expression [GO:0040029]; heterochromatin formation [GO:0031507]; innate immune response [GO:0045087]; lipid catabolic process [GO:0016042]; meiotic cell cycle [GO:0051321]; mitotic nuclear membrane reassembly [GO:0007084]; myelination in peripheral nervous system [GO:0022011]; negative regulation of autophagy [GO:0010507]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of oligodendrocyte progenitor proliferation [GO:0070446]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of satellite cell differentiation [GO:1902725]; negative regulation of striated muscle tissue development [GO:0045843]; negative regulation of transcription by RNA polymerase II [GO:0000122]; NLRP3 inflammasome complex assembly [GO:0044546]; peptidyl-lysine deacetylation [GO:0034983]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of cell division [GO:0051781]; positive regulation of DNA binding [GO:0043388]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of meiotic nuclear division [GO:0045836]; positive regulation of oocyte maturation [GO:1900195]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; rDNA heterochromatin formation [GO:0000183]; regulation of cell cycle [GO:0051726]; regulation of exit from mitosis [GO:0007096]; regulation of myelination [GO:0031641]; regulation of phosphorylation [GO:0042325]; response to redox state [GO:0051775]; substantia nigra development [GO:0021762]; subtelomeric heterochromatin formation [GO:0031509]; tubulin deacetylation [GO:0090042]
Guanine nucleotide exchange protein SMCR8 (Smith-Magenis syndrome chromosomal region candidate gene 8 protein)	SMCR8	autophagy [GO:0006914]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of exocytosis [GO:0045920]; negative regulation of gene expression [GO:0010629]; negative regulation of immune response [GO:0050777]; negative regulation of macroautophagy [GO:0016242]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of TOR signaling [GO:0032008]; regulation of autophagy [GO:0010506]; regulation of TORC1 signaling [GO:1903432]
Synaptosomal-associated protein 29 (SNAP-29) (Soluble 29 kDa NSF attachment protein) (Vesicle-membrane fusion protein SNAP-29)	SNAP29	autophagosome maturation [GO:0097352]; autophagosome membrane docking [GO:0016240]; cilium assembly [GO:0060271]; exocytosis [GO:0006887]; membrane fusion [GO:0061025]; protein transport [GO:0015031]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629]; synaptic vesicle priming [GO:0016082]; vesicle targeting [GO:0006903]
Spermatogenesis-associated protein 33	SPATA33 C16orf55	mitophagy [GO:0000423]
Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62) (p62)	SQSTM1 ORCA OSIL	aggrephagy [GO:0035973]; apoptotic process [GO:0006915]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; brown fat cell proliferation [GO:0070342]; cell differentiation [GO:0030154]; cellular response to stress [GO:0033554]; endosomal transport [GO:0016197]; endosome organization [GO:0007032]; energy homeostasis [GO:0097009]; immune system process [GO:0002376]; intracellular protein localization [GO:0008104]; intracellular signal transduction [GO:0035556]; macroautophagy [GO:0016236]; membraneless organelle assembly [GO:0140694]; mitophagy [GO:0000423]; negative regulation of ferroptosis [GO:0110076]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; negative regulation of transcription by RNA polymerase II [GO:0000122]; pexophagy [GO:0000425]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein catabolic process [GO:0030163]; protein import into nucleus [GO:0006606]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein targeting to vacuole involved in autophagy [GO:0071211]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of mitochondrion organization [GO:0010821]; regulation of protein complex stability [GO:0061635]; regulation of Ras protein signal transduction [GO:0046578]; response to ischemia [GO:0002931]; response to mitochondrial depolarisation [GO:0098780]; temperature homeostasis [GO:0001659]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process [GO:0006511]
Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor STBD1)	STBD1 GENX-3414	glycogen catabolic process [GO:0005980]; glycophagy [GO:0061723]; lysosomal transport [GO:0007041]; substrate localization to autophagosome [GO:0061753]
Stimulator of interferon genes protein (hSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (hMITA) (Transmembrane protein 173)	STING1 ERIS MITA STING TMEM173	activation of innate immune response [GO:0002218]; antiviral innate immune response [GO:0140374]; autophagosome assembly [GO:0000045]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to interferon-beta [GO:0035458]; cGAS/STING signaling pathway [GO:0140896]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein complex oligomerization [GO:0051259]; protein localization to endoplasmic reticulum [GO:0070972]; regulation of inflammatory response [GO:0050727]; reticulophagy [GO:0061709]
Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)	STK11 LKB1 PJS	activation of protein kinase activity [GO:0032147]; anoikis [GO:0043276]; autophagy [GO:0006914]; axonogenesis [GO:0007409]; cellular response to UV-B [GO:0071493]; dendrite extension [GO:0097484]; DNA damage response [GO:0006974]; epithelial cell proliferation involved in prostate gland development [GO:0060767]; establishment of cell polarity [GO:0030010]; G1 to G0 transition [GO:0070314]; glucose homeostasis [GO:0042593]; Golgi localization [GO:0051645]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of epithelial cell proliferation involved in prostate gland development [GO:0060770]; negative regulation of TORC1 signaling [GO:1904262]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of autophagy [GO:0010508]; positive regulation of axonogenesis [GO:0050772]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of vesicle transport along microtubule [GO:1901610]; positive thymic T cell selection [GO:0045059]; protein autophosphorylation [GO:0046777]; protein dephosphorylation [GO:0006470]; protein localization to nucleus [GO:0034504]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of dendrite morphogenesis [GO:0048814]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of Wnt signaling pathway [GO:0030111]; response to ionizing radiation [GO:0010212]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; T cell receptor signaling pathway [GO:0050852]; tissue homeostasis [GO:0001894]; vasculature development [GO:0001944]
Syntaxin-17	STX17	autophagosome maturation [GO:0097352]; autophagosome membrane docking [GO:0016240]; autophagosome-lysosome fusion [GO:0061909]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum-Golgi intermediate compartment organization [GO:0097111]; exocytosis [GO:0006887]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; protein localization to phagophore assembly site [GO:0034497]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]
Transcription factor SPT20 homolog (p38-interacting protein) (p38IP)	SUPT20H C13orf19 FAM48A FP757	autophagy [GO:0006914]; gastrulation [GO:0007369]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA repair [GO:0006282]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]
Tax1-binding protein 1 (TRAF6-binding protein)	TAX1BP1 T6BP PRO0105	apoptotic process [GO:0006915]; autophagy [GO:0006914]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytoplasmic pattern recognition receptor signaling pathway [GO:0039532]; negative regulation of interleukin-1-mediated signaling pathway [GO:2000660]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; protein localization to phagocytic vesicle [GO:1905161]
TBC1 domain family member 14	TBC1D14 KIAA1322	autophagy [GO:0006914]; negative regulation of autophagy [GO:0010507]; recycling endosome to Golgi transport [GO:0071955]; regulation of autophagosome assembly [GO:2000785]
TBC1 domain family member 17	TBC1D17	autophagy [GO:0006914]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]
TBC1 domain family member 25	TBC1D25 OATL1	autophagy [GO:0006914]; regulation of autophagosome maturation [GO:1901096]
TBC1 domain family member 5	TBC1D5 KIAA0210	autophagy [GO:0006914]; macroautophagy [GO:0016236]; positive regulation of receptor internalization [GO:0002092]; protein transport [GO:0015031]; response to starvation [GO:0042594]; retrograde transport, endosome to Golgi [GO:0042147]
Tectonin beta-propeller repeat-containing protein 1	TECPR1 KIAA1358	autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; macroautophagy [GO:0016236]; regulation of autophagosome maturation [GO:1901096]
Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	TECPR2 KIAA0297 KIAA0329	autophagy [GO:0006914]; protein exit from endoplasmic reticulum [GO:0032527]
Testis-expressed protein 264 (Putative secreted protein Zsig11)	TEX264 ZSIG11 UNQ337/PRO536	protein-DNA covalent cross-linking repair [GO:0106300]; reticulophagy [GO:0061709]
Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35)	TFEB BHLHE35	adaptive immune response [GO:0002250]; antibacterial innate immune response [GO:0140367]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; cellular response to starvation [GO:0009267]; defense response to Gram-negative bacterium [GO:0050829]; embryonic placenta development [GO:0001892]; humoral immune response [GO:0006959]; lysosome localization [GO:0032418]; lysosome organization [GO:0007040]; positive regulation of autophagy [GO:0010508]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of lysosome organization [GO:1905671]; regulation of transcription by RNA polymerase II [GO:0006357]
Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)	TIGAR C12orf5	cardiac muscle cell apoptotic process [GO:0010659]; cellular response to cobalt ion [GO:0071279]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; fructose 2,6-bisphosphate metabolic process [GO:0006003]; glucose catabolic process to lactate via pyruvate [GO:0019661]; glycolytic process [GO:0006096]; intestinal epithelial cell development [GO:0060576]; mitophagy [GO:0000423]; negative regulation of glucose catabolic process to lactate via pyruvate [GO:1904024]; negative regulation of glycolytic process [GO:0045820]; negative regulation of mitophagy [GO:1901525]; negative regulation of programmed cell death [GO:0043069]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of DNA repair [GO:0045739]; positive regulation of hexokinase activity [GO:1903301]; positive regulation of pentose-phosphate shunt [GO:1905857]; reactive oxygen species metabolic process [GO:0072593]; regulation of pentose-phosphate shunt [GO:0043456]; regulation of response to DNA damage checkpoint signaling [GO:1902153]; response to gamma radiation [GO:0010332]; response to ischemia [GO:0002931]; response to xenobiotic stimulus [GO:0009410]
Transmembrane 9 superfamily member 1 (MP70 protein family member) (hMP70)	TM9SF1	autophagy [GO:0006914]; protein localization to membrane [GO:0072657]
