Mechanical & Extracellular Stress		
This table was generated by retriving a list of proteins related to Mechanotransduction and Focal Adhesion found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Beta-parvin (Affixin)	PARVB CGI-56	actin cytoskeleton organization [GO:0030036]; cell projection assembly [GO:0030031]; establishment or maintenance of cell polarity regulating cell shape [GO:0071963]; lamellipodium assembly [GO:0030032]; substrate adhesion-dependent cell spreading [GO:0034446]
Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	PCBP2	chromatin looping [GO:0140588]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; IRES-dependent viral translational initiation [GO:0075522]; mRNA metabolic process [GO:0016071]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of defense response to virus [GO:0050687]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of transcription by RNA polymerase II [GO:0006357]; viral RNA genome replication [GO:0039694]
Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)	PDCD6IP AIP1 ALIX KIAA1375	actomyosin contractile ring assembly [GO:0000915]; apoptotic process [GO:0006915]; bicellular tight junction assembly [GO:0070830]; extracellular exosome biogenesis [GO:0097734]; macroautophagy [GO:0016236]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; midbody abscission [GO:0061952]; mitotic cytokinesis [GO:0000281]; multivesicular body assembly [GO:0036258]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of extracellular exosome assembly [GO:1903553]; protein homooligomerization [GO:0051260]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of extracellular exosome assembly [GO:1903551]; regulation of membrane permeability [GO:0090559]; ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway [GO:0090611]; viral budding [GO:0046755]; viral budding via host ESCRT complex [GO:0039702]
Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)	PDGFRA PDGFR2 RHEPDGFRA	adrenal gland development [GO:0030325]; cardiac myofibril assembly [GO:0055003]; cell activation [GO:0001775]; cell chemotaxis [GO:0060326]; cell migration [GO:0016477]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; cellular response to amino acid stimulus [GO:0071230]; cellular response to reactive oxygen species [GO:0034614]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic skeletal system morphogenesis [GO:0048704]; estrogen metabolic process [GO:0008210]; extracellular matrix organization [GO:0030198]; face morphogenesis [GO:0060325]; hematopoietic progenitor cell differentiation [GO:0002244]; in utero embryonic development [GO:0001701]; Leydig cell differentiation [GO:0033327]; lung development [GO:0030324]; luteinization [GO:0001553]; male genitalia development [GO:0030539]; metanephric glomerular capillary formation [GO:0072277]; negative regulation of platelet activation [GO:0010544]; odontogenesis of dentin-containing tooth [GO:0042475]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet aggregation [GO:0070527]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; platelet-derived growth factor receptor-alpha signaling pathway [GO:0035790]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway [GO:0038091]; positive regulation of chemotaxis [GO:0050921]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; protein autophosphorylation [GO:0046777]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of mesenchymal stem cell differentiation [GO:2000739]; retina vasculature development in camera-type eye [GO:0061298]; roof of mouth development [GO:0060021]; signal transduction involved in regulation of gene expression [GO:0023019]; white fat cell differentiation [GO:0050872]; wound healing [GO:0042060]
PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	PDLIM1 CLIM1 CLP36	actin cytoskeleton organization [GO:0030036]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; fibroblast migration [GO:0010761]; heart development [GO:0007507]; maintenance of cell polarity [GO:0030011]; muscle structure development [GO:0061061]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; stress fiber assembly [GO:0043149]
PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma)	PDLIM7 ENIGMA	actin cytoskeleton organization [GO:0030036]; cell differentiation [GO:0030154]; heart development [GO:0007507]; muscle structure development [GO:0061061]; ossification [GO:0001503]; receptor-mediated endocytosis [GO:0006898]
3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)	PDPK1 PDK1	actin cytoskeleton organization [GO:0030036]; calcium-mediated signaling [GO:0019722]; cell migration [GO:0016477]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to insulin stimulus [GO:0032869]; epidermal growth factor receptor signaling pathway [GO:0007173]; extrinsic apoptotic signaling pathway [GO:0097191]; hyperosmotic response [GO:0006972]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; intracellular signal transduction [GO:0035556]; intracellular signaling cassette [GO:0141124]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of mast cell degranulation [GO:0043304]; T cell costimulation [GO:0031295]; type B pancreatic cell development [GO:0003323]; vascular endothelial cell response to laminar fluid shear stress [GO:0097700]
Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes) (PED)	PEA15	apoptotic process [GO:0006915]; MAPK cascade [GO:0000165]; negative regulation of D-glucose import [GO:0046325]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]
Inactive tyrosine-protein kinase PEAK1 (Pseudopodium-enriched atypical kinase 1) (Sugen kinase 269) (Tyrosine-protein kinase SgK269)	PEAK1 KIAA2002	cell migration [GO:0016477]; focal adhesion assembly [GO:0048041]; protein autophosphorylation [GO:0046777]; regulation of cell motility [GO:2000145]; regulation of focal adhesion assembly [GO:0051893]; substrate adhesion-dependent cell spreading [GO:0034446]
Protein PEAK3	PEAK3 C19orf35	regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell motility [GO:2000145]; regulation of cell shape [GO:0008360]
Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	PECAM1	angiogenesis [GO:0001525]; bicellular tight junction assembly [GO:0070830]; cell recognition [GO:0008037]; cell surface receptor signaling pathway [GO:0007166]; cell-cell adhesion [GO:0098609]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; cellular response to mechanical stimulus [GO:0071260]; detection of mechanical stimulus [GO:0050982]; diapedesis [GO:0050904]; endothelial cell migration [GO:0043542]; endothelial cell morphogenesis [GO:0001886]; endothelial cell-matrix adhesion [GO:0090673]; establishment of endothelial barrier [GO:0061028]; glomerular endothelium development [GO:0072011]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; immune response [GO:0006955]; leukocyte cell-cell adhesion [GO:0007159]; maintenance of blood-brain barrier [GO:0035633]; monocyte extravasation [GO:0035696]; neutrophil extravasation [GO:0072672]; phagocytosis [GO:0006909]; positive regulation of cell migration [GO:0030335]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein localization to cell-cell junction [GO:0150107]; Rho protein signal transduction [GO:0007266]; signal transduction [GO:0007165]; vasodilation [GO:0042311]; wound healing [GO:0042060]
Phosphoglucomutase-like protein 5 (Aciculin) (Phosphoglucomutase-related protein) (PGM-RP)	PGM5 PGMRP	carbohydrate metabolic process [GO:0005975]; cell adhesion [GO:0007155]; myofibril assembly [GO:0030239]; striated muscle tissue development [GO:0014706]
Phosphatase and actin regulator 4	PHACTR4 PRO2963	actin cytoskeleton organization [GO:0030036]; closure of optic fissure [GO:0061386]; enteric nervous system development [GO:0048484]; negative regulation of integrin-mediated signaling pathway [GO:2001045]; neural crest cell migration [GO:0001755]; neural tube closure [GO:0001843]; positive regulation of catalytic activity [GO:0043085]; regulation of cell cycle [GO:0051726]; Rho protein signal transduction [GO:0007266]
Phosphate-regulating neutral endopeptidase PHEX (EC 3.4.24.-) (Metalloendopeptidase homolog PEX) (Vitamin D-resistant hypophosphatemic rickets protein) (X-linked hypophosphatemia protein) (HYP)	PHEX PEX	bone development [GO:0060348]; bone mineralization [GO:0030282]; cell-cell signaling [GO:0007267]; cellular response to parathyroid hormone stimulus [GO:0071374]; cellular response to vitamin D [GO:0071305]; lung development [GO:0030324]; odontogenesis [GO:0042476]; organophosphate metabolic process [GO:0019637]; protein modification process [GO:0036211]; protein processing [GO:0016485]; proteolysis [GO:0006508]; response to growth hormone [GO:0060416]; response to insulin-like growth factor stimulus [GO:1990418]; response to sodium phosphate [GO:1904383]; skeletal system development [GO:0001501]
Pleckstrin homology-like domain family B member 2 (Protein LL5-beta)	PHLDB2 LL5B	basement membrane organization [GO:0071711]; cell migration [GO:0016477]; establishment of cell polarity [GO:0030010]; establishment of protein localization [GO:0045184]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of wound healing, spreading of epidermal cells [GO:1903690]
Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67) (Phosphatidylinositol 4-Kinase III alpha)	PI4KA PIK4 PIK4CA	host-mediated perturbation of viral process [GO:0044788]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015]; reorganization of cellular membranes to establish viral sites of replication [GO:0140754]; signal transduction [GO:0007165]
E3 SUMO-protein ligase PIAS1 (EC 2.3.2.-) (DEAD/H box-binding protein 1) (E3 SUMO-protein transferase PIAS1) (Gu-binding protein) (GBP) (Protein inhibitor of activated STAT protein 1) (RNA helicase II-binding protein)	PIAS1 DDXBP1	cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; DNA damage response [GO:0006974]; fat cell differentiation [GO:0045444]; G1/S transition of mitotic cell cycle [GO:0000082]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein localization to cell periphery [GO:1904377]; positive regulation of protein sumoylation [GO:0033235]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; protein sumoylation [GO:0016925]; protein-DNA complex assembly [GO:0065004]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]; visual learning [GO:0008542]
Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	PIK3R1 GRB1	B cell differentiation [GO:0030183]; cellular response to insulin stimulus [GO:0032869]; cellular response to UV [GO:0034644]; cytokine-mediated signaling pathway [GO:0019221]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; growth hormone receptor signaling pathway [GO:0060396]; immune response [GO:0006955]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; interleukin-18-mediated signaling pathway [GO:0035655]; intracellular glucose homeostasis [GO:0001678]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; myeloid leukocyte migration [GO:0097529]; natural killer cell mediated cytotoxicity [GO:0042267]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of stress fiber assembly [GO:0051497]; osteoclast differentiation [GO:0030316]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; positive regulation of D-glucose import [GO:0046326]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of focal adhesion disassembly [GO:0120183]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of leukocyte migration [GO:0002687]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of RNA splicing [GO:0033120]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; protein import into nucleus [GO:0006606]; protein polyubiquitination [GO:0000209]; protein stabilization [GO:0050821]; regulation of toll-like receptor 4 signaling pathway [GO:0034143]; response to endoplasmic reticulum stress [GO:0034976]; substrate adhesion-dependent cell spreading [GO:0034446]; T cell differentiation [GO:0030217]; T follicular helper cell differentiation [GO:0061470]; transcription by RNA polymerase II [GO:0006366]
Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)	PIK3R3	B cell differentiation [GO:0030183]; cell migration involved in sprouting angiogenesis [GO:0002042]; immune response [GO:0006955]; insulin receptor signaling pathway [GO:0008286]; negative regulation of anoikis [GO:2000811]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of cell migration [GO:0030335]; positive regulation of gene expression [GO:0010628]; T cell differentiation [GO:0030217]
Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Type I phosphatidylinositol 4-phosphate 5-kinase gamma)	PIP5K1C KIAA0589	actin cytoskeleton organization [GO:0030036]; adherens junction assembly [GO:0034333]; cell-cell adhesion [GO:0098609]; clathrin-dependent endocytosis [GO:0072583]; membrane organization [GO:0061024]; neutrophil chemotaxis [GO:0030593]; phagocytosis [GO:0006909]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]
Fibrocystin (Polycystic kidney and hepatic disease 1 protein) (Polyductin) (Tigmin)	PKHD1 FCYT TIGM1	branching morphogenesis of an epithelial tube [GO:0048754]; cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; cilium assembly [GO:0060271]; epithelial cell morphogenesis [GO:0003382]; establishment of centrosome localization [GO:0051660]; establishment of mitotic spindle orientation [GO:0000132]; homeostatic process [GO:0042592]; intracellular calcium ion homeostasis [GO:0006874]; kidney development [GO:0001822]; negative regulation of apoptotic process [GO:0043066]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of epithelial cell proliferation [GO:0050679]; regulation of cell adhesion [GO:0030155]; regulation of cell-cell adhesion [GO:0022407]; regulation of cell-matrix adhesion [GO:0001952]; regulation of centrosome duplication [GO:0010824]; regulation of cholangiocyte proliferation [GO:1904054]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of establishment of planar polarity [GO:0090175]; regulation of TOR signaling [GO:0032006]
Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87)	PLAUR MO3 UPAR	blood coagulation [GO:0007596]; chemotaxis [GO:0006935]; negative regulation of apoptotic process [GO:0043066]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; positive regulation of DNA binding [GO:0043388]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; regulation of cell adhesion [GO:0030155]; regulation of fibrinolysis [GO:0051917]; regulation of plasminogen activation [GO:0010755]; regulation of proteolysis [GO:0030162]; signal transduction [GO:0007165]; urokinase plasminogen activator signaling pathway [GO:0038195]
Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	actomyosin contractile ring assembly actin filament organization [GO:2000689]; adherens junction organization [GO:0034332]; cardiac muscle cell development [GO:0055013]; cell morphogenesis [GO:0000902]; cellular response to fluid shear stress [GO:0071498]; cellular response to hydrostatic pressure [GO:0071464]; cellular response to mechanical stimulus [GO:0071260]; establishment of skin barrier [GO:0061436]; fibroblast migration [GO:0010761]; gene expression [GO:0010467]; hemidesmosome assembly [GO:0031581]; intermediate filament cytoskeleton organization [GO:0045104]; intermediate filament organization [GO:0045109]; intracellular protein localization [GO:0008104]; keratinocyte development [GO:0003334]; leukocyte migration involved in immune response [GO:0002522]; mitochondrion organization [GO:0007005]; multicellular organism growth [GO:0035264]; myoblast differentiation [GO:0045445]; nucleus organization [GO:0006997]; peripheral nervous system myelin maintenance [GO:0032287]; protein-containing complex organization [GO:0043933]; regulation of vascular permeability [GO:0043114]; respiratory electron transport chain [GO:0022904]; response to food [GO:0032094]; sarcomere organization [GO:0045214]; skeletal muscle fiber development [GO:0048741]; skeletal myofibril assembly [GO:0014866]; T cell chemotaxis [GO:0010818]; tight junction organization [GO:0120193]; transmission of nerve impulse [GO:0019226]; wound healing [GO:0042060]
Pleckstrin (Platelet 47 kDa protein) (p47)	PLEK P47	actin cytoskeleton organization [GO:0030036]; cell projection organization [GO:0030030]; cortical actin cytoskeleton organization [GO:0030866]; hematopoietic progenitor cell differentiation [GO:0002244]; inositol phosphate metabolic process [GO:0043647]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; negative regulation of calcium-mediated signaling [GO:0050849]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of inositol phosphate biosynthetic process [GO:0010920]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; phospholipase C-inhibiting G protein-coupled receptor signaling pathway [GO:0030845]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; positive regulation of actin filament bundle assembly [GO:0032233]; positive regulation of actin filament depolymerization [GO:0030836]; positive regulation of integrin activation [GO:0033625]; positive regulation of platelet activation [GO:0010572]; protein secretion by platelet [GO:0070560]; regulation of cell diameter [GO:0060305]; ruffle organization [GO:0031529]; thrombin-activated receptor signaling pathway [GO:0070493]; vesicle docking involved in exocytosis [GO:0006904]
Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)	PLK3 CNK FNK PRK	apoptotic process [GO:0006915]; cytoplasmic microtubule organization [GO:0031122]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; endomitotic cell cycle [GO:0007113]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; Golgi disassembly [GO:0090166]; mitotic G1/S transition checkpoint signaling [GO:0044819]; mitotic spindle organization [GO:0007052]; negative regulation of apoptotic process [GO:0043066]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chaperone-mediated autophagy [GO:1904716]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein phosphorylation [GO:0006468]; regulation of cell division [GO:0051302]; regulation of cytokinesis [GO:0032465]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to osmotic stress [GO:0006970]; response to radiation [GO:0009314]; response to reactive oxygen species [GO:0000302]
Plexin-A1 (Semaphorin receptor NOV)	PLXNA1 NOV PLXN1	dichotomous subdivision of terminal units involved in salivary gland branching [GO:0060666]; gonadotrophin-releasing hormone neuronal migration to the hypothalamus [GO:0021828]; neuron projection extension [GO:1990138]; neuron projection guidance [GO:0097485]; olfactory nerve formation [GO:0021628]; regulation of cell migration [GO:0030334]; regulation of smooth muscle cell migration [GO:0014910]; semaphorin-plexin signaling pathway [GO:0071526]; synapse assembly [GO:0007416]; T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]
Plexin-A3 (Plexin-4) (Semaphorin receptor SEX)	PLXNA3 PLXN4 SEX	axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; branchiomotor neuron axon guidance [GO:0021785]; facial nerve structural organization [GO:0021612]; gonadotrophin-releasing hormone neuronal migration to the hypothalamus [GO:0021828]; hippocampus development [GO:0021766]; motor neuron axon guidance [GO:0008045]; negative chemotaxis [GO:0050919]; negative regulation of axon extension involved in axon guidance [GO:0048843]; neuron projection guidance [GO:0097485]; olfactory nerve formation [GO:0021628]; positive regulation of cytoskeleton organization [GO:0051495]; pyramidal neuron development [GO:0021860]; regulation of cell migration [GO:0030334]; semaphorin-plexin signaling pathway [GO:0071526]; synapse assembly [GO:0007416]; trigeminal nerve structural organization [GO:0021637]
Plexin-A4	PLXNA4 KIAA1550 PLXNA4A PLXNA4B UNQ2820/PRO34003	anterior commissure morphogenesis [GO:0021960]; axon guidance [GO:0007411]; branchiomotor neuron axon guidance [GO:0021785]; chemorepulsion of branchiomotor axon [GO:0021793]; embryonic heart tube development [GO:0035050]; facial nerve structural organization [GO:0021612]; glossopharyngeal nerve morphogenesis [GO:0021615]; maintenance of synapse structure [GO:0099558]; motor neuron axon guidance [GO:0008045]; postganglionic parasympathetic fiber development [GO:0021784]; regulation of axon extension involved in axon guidance [GO:0048841]; regulation of cell migration [GO:0030334]; regulation of negative chemotaxis [GO:0050923]; semaphorin-plexin signaling pathway [GO:0071526]; sympathetic nervous system development [GO:0048485]; sympathetic neuron axon guidance [GO:0097492]; synapse assembly [GO:0007416]; trigeminal nerve structural organization [GO:0021637]; vagus nerve morphogenesis [GO:0021644]
Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1)	PODXL PCLP PCLP1	cell adhesion [GO:0007155]; cell migration [GO:0016477]; epithelial tube formation [GO:0072175]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-cell adhesion [GO:0022408]; podocyte development [GO:0072015]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]; regulation of microvillus assembly [GO:0032534]
Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)	PPFIA1 LIP1	cell-matrix adhesion [GO:0007160]; cortical microtubule organization [GO:0043622]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of stress fiber assembly [GO:0051497]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]; signal transduction [GO:0007165]; synapse organization [GO:0050808]
Liprin-beta-1 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 1) (PTPRF-interacting protein-binding protein 1) (hSGT2)	PPFIBP1 KIAA1230	cell adhesion [GO:0007155]; cortical microtubule organization [GO:0043622]; neuromuscular junction development [GO:0007528]
Protein phosphatase 1F (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase) (CaM-kinase phosphatase) (CaMKPase) (Partner of PIX 2) (Protein fem-2 homolog) (hFem-2)	PPM1F KIAA0015 POPX2	apoptotic process [GO:0006915]; cellular response to xenobiotic stimulus [GO:0071466]; intracellular signal transduction [GO:0035556]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of protein transport [GO:0051224]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of chemotaxis [GO:0050921]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of gene expression [GO:0010628]; positive regulation of growth [GO:0045927]; positive regulation of stress fiber assembly [GO:0051496]; regulation of protein localization [GO:0032880]; signal transduction [GO:0007165]
Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; MAPK cascade [GO:0000165]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]
Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	PPP1CC	blastocyst development [GO:0001824]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; MAPK cascade [GO:0000165]; mitotic sister chromatid segregation [GO:0000070]; neuron differentiation [GO:0030182]; positive regulation of glial cell proliferation [GO:0060252]; protein dephosphorylation [GO:0006470]; regulation of circadian rhythm [GO:0042752]; regulation of nucleocytoplasmic transport [GO:0046822]; spermatogenesis [GO:0007283]
Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	PPP1R12A MBS MYPT1	cellular response to xenobiotic stimulus [GO:0071466]; centrosome cycle [GO:0007098]; mitotic cell cycle [GO:0000278]; negative regulation of catalytic activity [GO:0043086]; neuron projection morphogenesis [GO:0048812]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of nucleocytoplasmic transport [GO:0046822]; signal transduction [GO:0007165]
