Protein Names	Gene Names	Gene Ontology	Supporting_PMID	Stress_Type	Paper_Count
Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products)	AGER RAGE	astrocyte activation [GO:0048143]; cell surface receptor signaling pathway [GO:0007166]; cellular response to amyloid-beta [GO:1904646]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; glucose mediated signaling pathway [GO:0010255]; induction of positive chemotaxis [GO:0050930]; inflammatory response [GO:0006954]; learning or memory [GO:0007611]; microglial cell activation [GO:0001774]; negative regulation of blood circulation [GO:1903523]; negative regulation of connective tissue replacement involved in inflammatory response wound healing [GO:1904597]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of long-term synaptic depression [GO:1900453]; negative regulation of long-term synaptic potentiation [GO:1900272]; neuron projection development [GO:0031175]; phagocytosis [GO:0006909]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of amyloid precursor protein catabolic process [GO:1902993]; positive regulation of chemokine production [GO:0032722]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of DNA-templated DNA replication [GO:2000105]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of endothelin production [GO:1904472]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of JNK cascade [GO:0046330]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of monocyte extravasation [GO:2000439]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of tumor necrosis factor production [GO:0032760]; protein localization to membrane [GO:0072657]; regulation of CD4-positive, alpha-beta T cell activation [GO:2000514]; regulation of inflammatory response [GO:0050727]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of non-canonical NF-kappaB signal transduction [GO:1901222]; regulation of p38MAPK cascade [GO:1900744]; regulation of spontaneous synaptic transmission [GO:0150003]; regulation of synaptic plasticity [GO:0048167]; regulation of T cell mediated cytotoxicity [GO:0001914]; response to amyloid-beta [GO:1904645]; response to hypoxia [GO:0001666]; response to wounding [GO:0009611]; transcytosis [GO:0045056]; transport across blood-brain barrier [GO:0150104]	37802845.0	Genotoxic Stress	6
Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)	ASCC2 ASC1P100 RQT3	DNA alkylation repair [GO:0006307]; DNA replication [GO:0006260]; regulation of DNA-templated transcription [GO:0006355]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]	33139697.0	Genotoxic Stress	6
DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)	DNTT TDT	DNA metabolic process [GO:0006259]; DNA modification [GO:0006304]; double-strand break repair via nonhomologous end joining [GO:0006303]; response to ATP [GO:0033198]	39791601.0	Genotoxic Stress	6
Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18)	EEF1E1 AIMP3 P18	cellular response to leukemia inhibitory factor [GO:1990830]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of cellular senescence [GO:2000774]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; translation [GO:0006412]	39884379.0	Genotoxic Stress	6
Serine protease FAM111A (EC 3.4.21.-)	FAM111A KIAA1895	DNA damage response [GO:0006974]; DNA replication [GO:0006260]; negative regulation of viral genome replication [GO:0045071]; protein autoprocessing [GO:0016540]; protein-DNA covalent cross-linking repair [GO:0106300]; proteolysis [GO:0006508]; replication fork processing [GO:0031297]	40446667.0	Genotoxic Stress	6
Histone H4 transcription factor (Histone nuclear factor P) (HiNF-P) (MBD2-interacting zinc finger protein) (Methyl-CpG-binding protein 2-interacting zinc finger protein)	HINFP MIZF ZNF743	cell cycle G1/S phase transition [GO:0044843]; DNA damage checkpoint signaling [GO:0000077]; DNA repair [GO:0006281]; DNA-templated transcription [GO:0006351]; establishment of protein localization [GO:0045184]; G1/S transition of mitotic cell cycle [GO:0000082]; in utero embryonic development [GO:0001701]; myoblast differentiation [GO:0045445]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]	35668172.0	Genotoxic Stress	6
tRNA (carboxymethyluridine(34)-5-O)-methyltransferase ALKBH8 (EC 2.1.1.229) (Alkylated DNA repair protein alkB homolog 8) (Alpha-ketoglutarate-dependent dioxygenase ALKBH8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ALKBH8)	ALKBH8 ABH8	DNA damage response [GO:0006974]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	24914785.0	Genotoxic Stress	6
Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)	ASCC2 ASC1P100 RQT3	DNA alkylation repair [GO:0006307]; DNA replication [GO:0006260]; regulation of DNA-templated transcription [GO:0006355]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]	33139697.0	Genotoxic Stress	6
DNA cross-link repair 1A protein (Beta-lactamase DCLRE1A) (EC 3.5.2.6) (SNM1 homolog A) (hSNM1) (hSNM1A)	DCLRE1A KIAA0086 SNM1 SNM1A	cell division [GO:0051301]; double-strand break repair via nonhomologous end joining [GO:0006303]; interstrand cross-link repair [GO:0036297]	31650563.0	Genotoxic Stress	6
Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)	MAPK12 ERK6 SAPK3	intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; muscle organ development [GO:0007517]; myoblast differentiation [GO:0045445]; negative regulation of cell cycle [GO:0045786]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of cell cycle [GO:0051726]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770]	39007035.0	Genotoxic Stress	6
Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)	SF3B3 KIAA0017 SAP130	mRNA splicing, via spliceosome [GO:0000398]; negative regulation of protein catabolic process [GO:0042177]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA repair [GO:0006282]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; U2-type prespliceosome assembly [GO:1903241]	41864998.0	Genotoxic Stress	5
SMC5-SMC6 complex localization factor protein 2 (Smc5/6 localization factor 1)	SLF2 C10orf6 FAM178A	chromatin looping [GO:0140588]; DNA damage response [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of protein-containing complex assembly [GO:0031334]; protein localization to site of double-strand break [GO:1990166]; protein sumoylation [GO:0016925]; regulation of telomere maintenance [GO:0032204]	37485814.0	Genotoxic Stress	5
RAD9, HUS1, RAD1-interacting nuclear orphan protein 1 (RAD9, RAD1, HUS1-interacting nuclear orphan protein)	RHNO1 C12orf32 RHINO HKMT1188	cellular response to ionizing radiation [GO:0071479]; cellular response to UV [GO:0034644]; DNA damage checkpoint signaling [GO:0000077]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; positive regulation of G0 to G1 transition [GO:0070318]; protein localization to site of double-strand break [GO:1990166]; recombinational repair [GO:0000725]	39107463.0	Genotoxic Stress	5
Splicing regulator SDE2 (Replication stress response regulator SDE2)	SDE2 C1orf55	cell division [GO:0051301]; cellular response to UV [GO:0034644]; DNA replication [GO:0006260]; endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; mRNA cis splicing, via spliceosome [GO:0045292]; protein processing [GO:0016485]; protein ubiquitination [GO:0016567]	27906959.0	Genotoxic Stress	5
Spermatogenesis-associated protein 22 (Testis development protein NYD-SP20)	SPATA22	fertilization [GO:0009566]; homologous chromosome pairing at meiosis [GO:0007129]; meiotic DNA repair synthesis [GO:0000711]; regulation of meiotic cell cycle [GO:0051445]; reproductive system development [GO:0061458]; spermatocyte division [GO:0048137]	28297563.0	Genotoxic Stress	5
Syntaxin-binding protein 4 (Syntaxin 4-interacting protein) (STX4-interacting protein) (Synip)	STXBP4	cellular response to type II interferon [GO:0071346]; DNA damage response [GO:0006974]; insulin receptor signaling pathway [GO:0008286]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of keratinocyte proliferation [GO:0010838]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; regulation of D-glucose transmembrane transport [GO:0010827]; regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178]	32993587.0	Genotoxic Stress	5
FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	SUPT16H FACT140 FACTP140	DNA repair [GO:0006281]; DNA replication [GO:0006260]; nucleosome assembly [GO:0006334]; nucleosome disassembly [GO:0006337]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase II [GO:0006368]	41556401.0	Genotoxic Stress	5
Transcription factor Dp family member 3 (Cancer/testis antigen 30) (CT30) (Hepatocellular carcinoma-associated antigen 661)	TFDP3 DP4 HCA661	DNA damage response [GO:0006974]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; regulation of transcription by RNA polymerase II [GO:0006357]	17632080.0	Genotoxic Stress	5
RPA-related protein RADX (RPA-related and RAD51-antagonist, X-chromosome)	RADX CXorf57	negative regulation of double-strand break repair via homologous recombination [GO:2000042]; regulation of DNA repair [GO:0006282]	37572935.0	Genotoxic Stress	5
Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (p99)	PPP1R10 CAT53 FB19 PNUTS	negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of mitotic DNA damage checkpoint [GO:1904290]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled [GO:2000806]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein import into nucleus [GO:0006606]; protein stabilization [GO:0050821]; RNA polymerase II promoter clearance [GO:0001111]	40012043.0	Genotoxic Stress	5
Tetratricopeptide repeat protein 5 (TPR repeat protein 5) (Stress-responsive activator of p300) (Protein Strap)	TTC5	cellular response to starvation [GO:0009267]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of transcription by RNA polymerase II [GO:0045944]	34947995.0	Genotoxic Stress	5
Exonuclease V (Exo V) (hExo5) (EC 3.1.-.-) (Defects in morphology protein 1 homolog)	EXO5 C1orf176 DEM1	interstrand cross-link repair [GO:0036297]	31616062.0	Genotoxic Stress	5
Tetratricopeptide repeat protein 5 (TPR repeat protein 5) (Stress-responsive activator of p300) (Protein Strap)	TTC5	cellular response to starvation [GO:0009267]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of transcription by RNA polymerase II [GO:0045944]	34947995.0	Genotoxic Stress	5
SMC5-SMC6 complex localization factor protein 2 (Smc5/6 localization factor 1)	SLF2 C10orf6 FAM178A	chromatin looping [GO:0140588]; DNA damage response [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of protein-containing complex assembly [GO:0031334]; protein localization to site of double-strand break [GO:1990166]; protein sumoylation [GO:0016925]; regulation of telomere maintenance [GO:0032204]	37485814.0	Genotoxic Stress	5
Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A MCPIP MCPIP1	3'-UTR-mediated mRNA destabilization [GO:0061158]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; cellular response to chemokine [GO:1990869]; cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-1 [GO:0071347]; cellular response to ionomycin [GO:1904637]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidative stress [GO:0034599]; cellular response to sodium arsenite [GO:1903936]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; DNA damage response [GO:0006974]; host-mediated suppression of viral genome replication [GO:0044828]; immune response-activating signaling pathway [GO:0002757]; inflammatory response [GO:0006954]; miRNA catabolic process [GO:0010587]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cardiac muscle contraction [GO:0055118]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of macrophage activation [GO:0043031]; negative regulation of muscle cell apoptotic process [GO:0010656]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type II interferon production [GO:0032689]; nervous system development [GO:0007399]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy [GO:0010508]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of gene expression [GO:0010628]; positive regulation of lipid storage [GO:0010884]; positive regulation of miRNA catabolic process [GO:2000627]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of protein deubiquitination [GO:1903003]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein complex oligomerization [GO:0051259]; protein deubiquitination [GO:0016579]; regulation of gene expression [GO:0010468]; T cell receptor signaling pathway [GO:0050852]	38498096.0	Genotoxic Stress	5
