Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2) (PHAPI2) (Silver-stainable protein SSP29)	ANP32B APRIL PHAPI2	inner ear development [GO:0048839]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell differentiation [GO:0045596]; nucleosome assembly [GO:0006334]; positive regulation of protein export from nucleus [GO:0046827]; regulation of apoptotic process [GO:0042981]; roof of mouth development [GO:0060021]; vasculature development [GO:0001944]; ventricular system development [GO:0021591]
AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin)	AP1M1 CLTNM	endosome to melanosome transport [GO:0035646]; intracellular protein transport [GO:0006886]; melanosome assembly [GO:1903232]; melanosome organization [GO:0032438]; platelet dense granule organization [GO:0060155]; vesicle-mediated transport [GO:0016192]
Apoptotic protease-activating factor 1 (APAF-1)	APAF1 KIAA0413	apoptotic process [GO:0006915]; cardiac muscle cell apoptotic process [GO:0010659]; cell differentiation [GO:0030154]; cellular response to transforming growth factor beta stimulus [GO:0071560]; forebrain development [GO:0030900]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; kidney development [GO:0001822]; nervous system development [GO:0007399]; neural tube closure [GO:0001843]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; regulation of apoptotic DNA fragmentation [GO:1902510]; regulation of apoptotic process [GO:0042981]; response to G1 DNA damage checkpoint signaling [GO:0072432]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]
Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109) (APAF1-interacting protein) (hAPIP)	APIP CGI-29	apoptotic process [GO:0006915]; L-methionine salvage from methylthioadenosine [GO:0019509]; negative regulation of apoptotic process [GO:0043066]; protein homotetramerization [GO:0051289]; pyroptotic inflammatory response [GO:0070269]; regulation of ERK1 and ERK2 cascade [GO:0070372]
Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30]	APLP1	animal organ morphogenesis [GO:0009887]; apoptotic process [GO:0006915]; axonogenesis [GO:0007409]; cell adhesion [GO:0007155]; cellular response to norepinephrine stimulus [GO:0071874]; central nervous system development [GO:0007417]; cytosolic mRNA polyadenylation [GO:0180011]; endocytosis [GO:0006897]; extracellular matrix organization [GO:0030198]; forebrain development [GO:0030900]; negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0106072]; nervous system development [GO:0007399]; regulation of translation [GO:0006417]
Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	adult locomotory behavior [GO:0008344]; amyloid fibril formation [GO:1990000]; astrocyte activation [GO:0048143]; astrocyte activation involved in immune response [GO:0002265]; axo-dendritic transport [GO:0008088]; axon midline choice point recognition [GO:0016199]; axonogenesis [GO:0007409]; calcium ion transport [GO:0006816]; cell adhesion [GO:0007155]; cellular response to amyloid-beta [GO:1904646]; cellular response to cAMP [GO:0071320]; cellular response to copper ion [GO:0071280]; cellular response to manganese ion [GO:0071287]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to norepinephrine stimulus [GO:0071874]; central nervous system development [GO:0007417]; cognition [GO:0050890]; collateral sprouting in absence of injury [GO:0048669]; dendrite development [GO:0016358]; endocytosis [GO:0006897]; extracellular matrix organization [GO:0030198]; hippocampal neuron apoptotic process [GO:0110088]; intracellular copper ion homeostasis [GO:0006878]; ionotropic glutamate receptor signaling pathway [GO:0035235]; learning [GO:0007612]; learning or memory [GO:0007611]; locomotory behavior [GO:0007626]; mating behavior [GO:0007617]; microglia development [GO:0014005]; microglial cell activation [GO:0001774]; modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of long-term synaptic potentiation [GO:1900272]; neuron projection development [GO:0031175]; neuron projection maintenance [GO:1990535]; neuron remodeling [GO:0016322]; NMDA selective glutamate receptor signaling pathway [GO:0098989]; Notch signaling pathway [GO:0007219]; positive regulation of amyloid fibril formation [GO:1905908]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of chemokine production [GO:0032722]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of glycolytic process [GO:0045821]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of JNK cascade [GO:0046330]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of T cell migration [GO:2000406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of gene expression [GO:0010468]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of multicellular organism growth [GO:0040014]; regulation of neuron apoptotic process [GO:0043523]; regulation of presynapse assembly [GO:1905606]; regulation of spontaneous synaptic transmission [GO:0150003]; regulation of synapse structure or activity [GO:0050803]; regulation of translation [GO:0006417]; regulation of Wnt signaling pathway [GO:0030111]; response to ethanol [GO:0045471]; response to insulin-like growth factor stimulus [GO:1990418]; response to interleukin-1 [GO:0070555]; response to lead ion [GO:0010288]; swimming behavior [GO:0036269]; synapse organization [GO:0050808]; visual learning [GO:0008542]
DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)	APPL1 APPL DIP13A KIAA1428	adiponectin-activated signaling pathway [GO:0033211]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; insulin receptor signaling pathway [GO:0008286]; maintenance of synapse structure [GO:0099558]; negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905450]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of D-glucose import [GO:0046326]; positive regulation of macropinocytosis [GO:1905303]; positive regulation of melanin biosynthetic process [GO:0048023]; protein import into nucleus [GO:0006606]; regulation of D-glucose import [GO:0046324]; regulation of fibroblast migration [GO:0010762]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of innate immune response [GO:0045088]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of toll-like receptor 4 signaling pathway [GO:0034143]; signal transduction [GO:0007165]; signaling [GO:0023052]; transforming growth factor beta receptor signaling pathway [GO:0007179]
Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	AR DHTR NR3C4	androgen receptor signaling pathway [GO:0030521]; animal organ formation [GO:0048645]; cell-cell signaling [GO:0007267]; cellular response to estrogen stimulus [GO:0071391]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to testosterone stimulus [GO:0071394]; epithelial cell differentiation involved in prostate gland development [GO:0060742]; epithelial cell morphogenesis [GO:0003382]; epithelial cell proliferation [GO:0050673]; estrogen receptor signaling pathway [GO:0030520]; in utero embryonic development [GO:0001701]; insulin-like growth factor receptor signaling pathway [GO:0048009]; intracellular receptor signaling pathway [GO:0030522]; lateral sprouting involved in mammary gland duct morphogenesis [GO:0060599]; Leydig cell differentiation [GO:0033327]; male genitalia morphogenesis [GO:0048808]; male gonad development [GO:0008584]; male somatic sex determination [GO:0019102]; mammary gland alveolus development [GO:0060749]; MAPK cascade [GO:0000165]; membraneless organelle assembly [GO:0140694]; morphogenesis of an epithelial fold [GO:0060571]; multicellular organism growth [GO:0035264]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation involved in prostate gland development [GO:0060769]; positive regulation of gene expression [GO:0010628]; positive regulation of insulin-like growth factor receptor signaling pathway [GO:0043568]; positive regulation of integrin biosynthetic process [GO:0045726]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by RNA polymerase III [GO:0045945]; prostate gland epithelium morphogenesis [GO:0060740]; prostate gland growth [GO:0060736]; prostate induction [GO:0060514]; regulation of developmental growth [GO:0048638]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of systemic arterial blood pressure [GO:0003073]; seminiferous tubule development [GO:0072520]; signal transduction [GO:0007165]; single fertilization [GO:0007338]; spermatogenesis [GO:0007283]; tertiary branching involved in mammary gland duct morphogenesis [GO:0060748]; transcription by RNA polymerase II [GO:0006366]
Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	cytoskeleton organization [GO:0007010]; negative regulation of apoptotic process [GO:0043066]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]
Ubiquitin-like-conjugating enzyme ATG10 (EC 2.3.2.-) (Autophagy-related protein 10) (APG10-like)	ATG10 APG10L PP12616	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; ER overload response [GO:0006983]; mitophagy [GO:0000423]; protein modification by small protein conjugation [GO:0032446]; protein transport [GO:0015031]
Autophagy-related protein 16-1 (APG16-like 1)	ATG16L1 APG16L UNQ9393/PRO34307	autophagosome assembly [GO:0000045]; axonal transport [GO:0098930]; C-terminal protein lipidation [GO:0006501]; corpus callosum development [GO:0022038]; defense response to virus [GO:0051607]; dendrite arborization [GO:0140059]; hippocampus development [GO:0021766]; macroautophagy [GO:0016236]; microautophagy [GO:0016237]; negative regulation of dendrite extension [GO:1903860]; negative stranded viral RNA replication [GO:0039689]; positive regulation of autophagy [GO:0010508]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; xenophagy [GO:0098792]
Ubiquitin-like-conjugating enzyme ATG3 (EC 2.3.2.-) (Autophagy-related protein 3) (APG3-like) (hApg3) (Protein PC3-96)	ATG3 APG3 APG3L	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; negative regulation of phagocytosis [GO:0050765]; nucleophagy [GO:0044804]; protein targeting to membrane [GO:0006612]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; regulation of cilium assembly [GO:1902017]
Cysteine protease ATG4D (EC 3.4.22.-) (AUT-like 4 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 4) (Autophagin-4) (Autophagy-related protein 4 homolog D) (HsAPG4D) [Cleaved into: Cysteine protease ATG4D, mitochondrial]	ATG4D APG4D AUTL4	aggrephagy [GO:0035973]; apoptotic process [GO:0006915]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; mitophagy [GO:0000423]; piecemeal microautophagy of the nucleus [GO:0034727]; protein delipidation [GO:0051697]; protein localization to phagophore assembly site [GO:0034497]; protein processing [GO:0016485]; protein transport [GO:0015031]; proteolysis [GO:0006508]
Autophagy protein 5 (APG5-like) (Apoptosis-specific protein)	ATG5 APG5L ASP	aggrephagy [GO:0035973]; antigen processing and presentation of endogenous antigen [GO:0019883]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; axonal transport [GO:0098930]; blood vessel remodeling [GO:0001974]; cardiac muscle cell apoptotic process [GO:0010659]; cellular response to nitrogen starvation [GO:0006995]; cellular response to nitrosative stress [GO:0071500]; chaperone-mediated autophagy [GO:0061684]; chromatin organization [GO:0006325]; defense response to virus [GO:0051607]; heart contraction [GO:0060047]; innate immune response [GO:0045087]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]; mucus secretion [GO:0070254]; negative regulation of autophagic cell death [GO:1904093]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of defense response to virus [GO:0050687]; negative regulation of innate immune response [GO:0045824]; negative regulation of phagocytosis [GO:0050765]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of type I interferon production [GO:0032480]; negative stranded viral RNA replication [GO:0039689]; negative thymic T cell selection [GO:0045060]; otolith development [GO:0048840]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of autophagy [GO:0010508]; positive regulation of mucus secretion [GO:0070257]; positive regulation of stress granule assembly [GO:0062029]; positive regulation of viral translation [GO:1904973]; post-translational protein modification [GO:0043687]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; protein ubiquitination [GO:0016567]; regulation of autophagosome maturation [GO:1901096]; regulation of cilium assembly [GO:1902017]; regulation of cytokine production involved in immune response [GO:0002718]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; response to fluoride [GO:1902617]; response to fungus [GO:0009620]; response to iron(II) ion [GO:0010040]; response to xenobiotic stimulus [GO:0009410]; vasodilation [GO:0042311]; ventricular cardiac muscle cell development [GO:0055015]
Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	ATG7 APG7L	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; cellular response to hyperoxia [GO:0071455]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; cellular response to stress [GO:0033554]; defense response to virus [GO:0051607]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of apoptotic process [GO:0043065]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein modification process [GO:0031401]; protein lipidation [GO:0006497]; protein modification by small protein conjugation [GO:0032446]; protein transport [GO:0015031]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]
Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	brain development [GO:0007420]; cellular response to gamma radiation [GO:0071480]; cellular response to nitrosative stress [GO:0071500]; cellular response to reactive oxygen species [GO:0034614]; cellular response to retinoic acid [GO:0071300]; cellular response to stress [GO:0033554]; cellular response to X-ray [GO:0071481]; cellular senescence [GO:0090398]; determination of adult lifespan [GO:0008340]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; DNA double-strand break processing [GO:0000729]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of protein-containing complex localization to telomere [GO:0097695]; establishment of RNA localization to telomere [GO:0097694]; female meiotic nuclear division [GO:0007143]; heart development [GO:0007507]; histone mRNA catabolic process [GO:0071044]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; lipoprotein catabolic process [GO:0042159]; male meiotic nuclear division [GO:0007140]; meiotic telomere clustering [GO:0045141]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic spindle assembly checkpoint signaling [GO:0007094]; multicellular organism growth [GO:0035264]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of telomere capping [GO:1904354]; negative regulation of TORC1 signaling [GO:1904262]; neuron apoptotic process [GO:0051402]; oocyte development [GO:0048599]; ovarian follicle development [GO:0001541]; peptidyl-serine autophosphorylation [GO:0036289]; pexophagy [GO:0000425]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of telomerase catalytic core complex assembly [GO:1904884]; positive regulation of telomere maintenance via telomerase [GO:0032212]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; pre-B cell allelic exclusion [GO:0002331]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; reciprocal meiotic recombination [GO:0007131]; regulation of apoptotic process [GO:0042981]; regulation of autophagosome assembly [GO:2000785]; regulation of autophagy [GO:0010506]; regulation of cell cycle [GO:0051726]; regulation of cellular response to heat [GO:1900034]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of telomere maintenance via telomerase [GO:0032210]; replicative senescence [GO:0090399]; response to ionizing radiation [GO:0010212]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770]; somitogenesis [GO:0001756]; telomere maintenance [GO:0000723]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]
Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein)	ATN1 D12S755E DRPLA	cell killing [GO:0001906]; cell migration [GO:0016477]; central nervous system development [GO:0007417]; determination of adult lifespan [GO:0008340]; maintenance of cell polarity [GO:0030011]; male gonad development [GO:0008584]; multicellular organism growth [GO:0035264]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron apoptotic process [GO:0051402]; post-embryonic development [GO:0009791]; response to food [GO:0032094]; spermatogenesis [GO:0007283]
Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)	ATP8A1 ATPIA	aminophospholipid translocation [GO:0140331]; learning [GO:0007612]; monoatomic ion transmembrane transport [GO:0034220]; phospholipid translocation [GO:0045332]; positive regulation of cell migration [GO:0030335]; positive regulation of phospholipid translocation [GO:0061092]; synaptic vesicle endocytosis [GO:0048488]; transport across blood-brain barrier [GO:0150104]
Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3 ATX3 MJD MJD1 SCA3	actin cytoskeleton organization [GO:0030036]; cellular response to amino acid starvation [GO:0034198]; cellular response to heat [GO:0034605]; cellular response to misfolded protein [GO:0071218]; chemical synaptic transmission [GO:0007268]; exploration behavior [GO:0035640]; intermediate filament cytoskeleton organization [GO:0045104]; microtubule cytoskeleton organization [GO:0000226]; monoubiquitinated protein deubiquitination [GO:0035520]; negative regulation of TORC1 signaling [GO:1904262]; nervous system development [GO:0007399]; nucleotide-excision repair [GO:0006289]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]; protein localization to cytosolic proteasome complex [GO:1904327]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; regulation of cell-substrate adhesion [GO:0010810]; ubiquitin-dependent protein catabolic process [GO:0006511]
Ataxin-7 (Spinocerebellar ataxia type 7 protein)	ATXN7 SCA7	microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; nucleus organization [GO:0006997]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA repair [GO:0006282]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]; visual perception [GO:0007601]
Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)	BAG6 BAT3 G3	apoptotic process [GO:0006915]; brain development [GO:0007420]; cell differentiation [GO:0030154]; chromatin organization [GO:0006325]; endoplasmic reticulum stress-induced pre-emptive quality control [GO:0061857]; ERAD pathway [GO:0036503]; immune response-activating cell surface receptor signaling pathway [GO:0002429]; internal peptidyl-lysine acetylation [GO:0018393]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; kidney development [GO:0001822]; lung development [GO:0030324]; maintenance of unfolded protein [GO:0036506]; natural killer cell activation [GO:0030101]; negative regulation of apoptotic process [GO:0043066]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of proteolysis [GO:0045861]; NK T cell activation [GO:0051132]; positive regulation of ERAD pathway [GO:1904294]; post-translational protein targeting to endoplasmic reticulum membrane [GO:0006620]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein stabilization [GO:0050821]; regulation of embryonic development [GO:0045995]; regulation of protein stability [GO:0031647]; spermatogenesis [GO:0007283]; synaptonemal complex assembly [GO:0007130]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]; ubiquitin-dependent protein catabolic process [GO:0006511]
